Date,Store,Weekly_Sales,Forecasted_Sales,MAPE
2011-02-11,1,1649614.93,1674735.3353046435,2.993534335590305
2011-02-18,1,1686842.78,1660112.7725940119,2.993534335590305
2011-02-25,1,1456800.28,1484746.5192464772,2.993534335590305
2011-03-04,1,1636263.41,1606500.0010641338,2.993534335590305
2011-03-11,1,1553191.63,1486871.558228903,2.993534335590305
2011-03-18,1,1576818.06,1538177.8167427098,2.993534335590305
2011-03-25,1,1541102.38,1490692.9524300147,2.993534335590305
2011-04-01,1,1495064.75,1638616.071860134,2.993534335590305
2011-04-08,1,1614259.35,1582314.6814122358,2.993534335590305
2011-04-15,1,1559889.0,1543046.4992993986,2.993534335590305
2011-04-22,1,1564819.81,1464962.3738119681,2.993534335590305
2011-04-29,1,1455090.69,1508543.9819682767,2.993534335590305
2011-05-06,1,1629391.28,1637108.5188183764,2.993534335590305
2011-05-13,1,1604775.58,1563922.8710703044,2.993534335590305
2011-05-20,1,1428218.27,1454594.8028564218,2.993534335590305
2011-05-27,1,1466046.67,1483945.107772031,2.993534335590305
2011-06-03,1,1635078.41,1663125.9102921798,2.993534335590305
2011-06-10,1,1588948.32,1588052.1287482705,2.993534335590305
2011-06-17,1,1532114.86,1554667.2467340012,2.993534335590305
2011-06-24,1,1438830.15,1471676.498779486,2.993534335590305
2011-07-01,1,1488538.09,1540021.8199323937,2.993534335590305
2011-07-08,1,1534849.64,1590709.6855440391,2.993534335590305
2011-07-15,1,1455119.97,1501076.5910807818,2.993534335590305
2011-07-22,1,1396926.82,1436725.040702344,2.993534335590305
2011-07-29,1,1352219.79,1427786.9070487986,2.993534335590305
2011-08-05,1,1624383.75,1642297.6627091563,2.993534335590305
2011-08-12,1,1525147.09,1556919.002686699,2.993534335590305
2011-08-19,1,1530761.43,1556493.3853142688,2.993534335590305
2011-08-26,1,1464693.46,1499098.2679643116,2.993534335590305
2011-09-02,1,1550229.22,1588559.3996369333,2.993534335590305
2011-09-09,1,1540471.24,1544998.8680315865,2.993534335590305
2011-09-16,1,1514259.78,1478163.13535594,2.993534335590305
2011-09-23,1,1380020.27,1404720.1366406758,2.993534335590305
2011-09-30,1,1394561.83,1514406.2958912055,2.993534335590305
2011-10-07,1,1630989.95,1559697.9663573918,2.993534335590305
2011-10-14,1,1493525.93,1537773.4837801107,2.993534335590305
2011-10-21,1,1502562.78,1393439.7095829244,2.993534335590305
2011-10-28,1,1445249.09,1461465.4150689568,2.993534335590305
